# Point cloud data.
# File created by cg software.
# (C) Hochschule f√ºr Angewandte Wissenschaften, Hamburg.
#
# Format: pos0; Ñpos1; Ñpos2; Ñnor0; Ñnor1; Ñnor2
#
0,000621; Ñ0,080000; Ñ-0,010214; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000621; Ñ0,079000; Ñ-0,010214; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000691; Ñ0,078000; Ñ-0,011211; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000691; Ñ0,077000; Ñ-0,011211; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000781; Ñ0,076000; Ñ-0,012508; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000781; Ñ0,075000; Ñ-0,012508; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000928; Ñ0,074000; Ñ-0,014603; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000928; Ñ0,073000; Ñ-0,014603; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000928; Ñ0,072000; Ñ-0,014603; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,001074; Ñ0,071000; Ñ-0,016698; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,001074; Ñ0,070000; Ñ-0,016698; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,001158; Ñ0,069000; Ñ-0,017895; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000586; Ñ0,068000; Ñ-0,009715; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000251; Ñ0,067000; Ñ-0,004927; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000251; Ñ0,066000; Ñ-0,004927; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000244; Ñ0,065000; Ñ-0,004827; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000209; Ñ0,064000; Ñ-0,004328; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000209; Ñ0,063000; Ñ-0,004328; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000188; Ñ0,062000; Ñ-0,004029; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000216; Ñ0,061000; Ñ-0,004428; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000216; Ñ0,060000; Ñ-0,004428; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000237; Ñ0,059000; Ñ-0,004727; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000237; Ñ0,058000; Ñ-0,004727; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000244; Ñ0,057000; Ñ-0,004827; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000244; Ñ0,056000; Ñ-0,004827; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000237; Ñ0,055000; Ñ-0,004727; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000237; Ñ0,054000; Ñ-0,004727; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000237; Ñ0,053000; Ñ-0,004727; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000230; Ñ0,052000; Ñ-0,004627; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000237; Ñ0,051000; Ñ-0,004727; Ñ0,000000; Ñ0,000000; Ñ0,000000
