# Measuring Scanner Data
# 
# Format Information:
# <distance> <rotation> <shift>
# Distance to Center: 0.2554

0.2306 120.0 0.023000002
0.2306 120.0 0.022000002
0.2306 120.0 0.021000002
0.2311 120.0 0.020000001
0.2311 120.0 0.019000001
0.2308 120.0 0.018000001
0.2308 120.0 0.017
0.2307 120.0 0.016
0.2307 120.0 0.015000001
0.2307 120.0 0.014
0.2306 120.0 0.013
0.2306 120.0 0.012
0.2308 120.0 0.011000001
0.2308 120.0 0.010000001
0.2305 120.0 0.009000001
0.2305 120.0 0.008
0.2306 120.0 0.007
0.2306 120.0 0.006
0.2304 120.0 0.0050000004
0.2304 120.0 0.004
0.2304 120.0 0.003
0.23 120.0 0.002
0.2261 120.0 0.001
0.2253 128.0 0.0
0.2263 128.0 0.001
0.2263 128.0 0.002
0.2293 128.0 0.003
0.2293 128.0 0.004
0.2306 128.0 0.0050000004
0.2306 128.0 0.006
0.2306 128.0 0.007
0.2305 128.0 0.008
0.2305 128.0 0.009000001
0.2301 128.0 0.010000001
0.2301 128.0 0.011000001
0.2307 128.0 0.012
0.2307 128.0 0.013
0.2307 128.0 0.014
0.2305 128.0 0.015000001
0.2305 128.0 0.016
0.2307 128.0 0.017
0.2307 128.0 0.018000001
0.2302 128.0 0.019000001
0.2302 128.0 0.020000001
0.2302 128.0 0.021000002
0.2299 128.0 0.022000002
0.2299 128.0 0.023000002
0.2302 128.0 0.024
0.2302 128.0 0.025
0.2308 128.0 0.026
0.2308 128.0 0.027
0.2308 128.0 0.028
0.2302 128.0 0.029000001
0.2302 128.0 0.030000001
0.2302 128.0 0.031000001
0.2302 128.0 0.032
0.2305 128.0 0.033
0.2305 128.0 0.034
0.2305 128.0 0.035
0.2305 128.0 0.036000002
0.8714 128.0 0.037
0.8717 128.0 0.038000003
0.8717 128.0 0.039
0.8717 128.0 0.040000003
0.8719 128.0 0.041
0.8721 128.0 0.042000003
0.8719 128.0 0.043
0.872 128.0 0.044000003
0.8719 128.0 0.045
0.8719 128.0 0.046000004
0.8721 128.0 0.047000002
0.8719 128.0 0.048
0.8717 128.0 0.049000002
0.872 136.0 0.05
0.872 136.0 0.049000002
0.8719 136.0 0.048
0.8719 136.0 0.047000002
0.8719 136.0 0.046000004
0.8721 136.0 0.045
0.8721 136.0 0.044000003
0.8718 136.0 0.043
0.8719 136.0 0.042000003
0.8717 136.0 0.041
0.8717 136.0 0.040000003
0.8719 136.0 0.039
0.8711 136.0 0.038000003
0.8647 136.0 0.037
0.8647 136.0 0.036000002
0.2316 136.0 0.035
0.2316 136.0 0.034
0.2305 136.0 0.033
0.2305 136.0 0.032
0.2305 136.0 0.031000001
0.2301 136.0 0.030000001
0.2301 136.0 0.029000001
0.2301 136.0 0.028
0.2301 136.0 0.027
0.2301 136.0 0.026
0.2304 136.0 0.025
0.2304 136.0 0.024
0.2299 136.0 0.023000002
0.2299 136.0 0.022000002
0.2299 136.0 0.021000002
0.2302 136.0 0.020000001
0.2302 136.0 0.019000001
0.2303 136.0 0.018000001
0.2303 136.0 0.017
0.2303 136.0 0.016
0.2303 136.0 0.015000001
0.2303 136.0 0.014
0.2307 136.0 0.013
0.2307 136.0 0.012
0.2307 136.0 0.011000001
0.2305 136.0 0.010000001
0.2305 136.0 0.009000001
0.2306 136.0 0.008
0.2306 136.0 0.007
0.2304 136.0 0.006
0.2304 136.0 0.0050000004
0.2304 136.0 0.004
0.2296 136.0 0.003
0.2296 136.0 0.002
0.2236 136.0 0.001
0.2207 144.0 0.0
0.2237 144.0 0.001
0.2237 144.0 0.002
0.2237 144.0 0.003
0.2295 144.0 0.004
0.2295 144.0 0.0050000004
0.2301 144.0 0.006
0.2301 144.0 0.007
0.2301 144.0 0.008
0.2305 144.0 0.009000001
0.2305 144.0 0.010000001
0.2299 144.0 0.011000001
0.2299 144.0 0.012
0.2299 144.0 0.013
0.2306 144.0 0.014
0.2306 144.0 0.015000001
0.2304 144.0 0.016
0.2304 144.0 0.017
0.2304 144.0 0.018000001
0.2301 144.0 0.019000001
0.2301 144.0 0.020000001
0.2298 144.0 0.021000002
0.2298 144.0 0.022000002
0.2298 144.0 0.023000002
0.2298 144.0 0.024
0.2298 144.0 0.025
0.2303 144.0 0.026
0.2303 144.0 0.027
0.2303 144.0 0.028
0.2304 144.0 0.029000001
0.2304 144.0 0.030000001
0.2302 144.0 0.031000001
0.2302 144.0 0.032
0.2302 144.0 0.033
0.2294 144.0 0.034
0.2294 144.0 0.035
0.2294 144.0 0.036000002
0.8713 144.0 0.037
0.872 144.0 0.038000003
0.8719 144.0 0.039
0.8718 144.0 0.040000003
0.8718 144.0 0.041
0.8719 144.0 0.042000003
0.8718 144.0 0.043
0.872 144.0 0.044000003
0.872 144.0 0.045
0.8719 144.0 0.046000004
0.872 144.0 0.047000002
0.8721 144.0 0.048
0.8721 152.0 0.05
0.8721 152.0 0.049000002
0.8721 152.0 0.048
0.8721 152.0 0.047000002
0.872 152.0 0.046000004
0.872 152.0 0.045
0.8721 152.0 0.044000003
0.8721 152.0 0.043
0.872 152.0 0.042000003
0.8718 152.0 0.041
0.8717 152.0 0.040000003
0.8719 152.0 0.039
0.8717 152.0 0.038000003
0.8698 152.0 0.037
0.753 152.0 0.036000002
0.753 152.0 0.035
0.753 152.0 0.034
0.2293 152.0 0.033
0.2293 152.0 0.032
0.2299 152.0 0.031000001
0.2299 152.0 0.030000001
0.2299 152.0 0.029000001
0.2295 152.0 0.028
0.2295 152.0 0.027
0.2298 152.0 0.026
0.2298 152.0 0.025
0.2298 152.0 0.024
0.2302 152.0 0.023000002
0.2302 152.0 0.022000002
0.2296 152.0 0.021000002
0.2296 152.0 0.020000001
0.2296 152.0 0.019000001
0.2302 152.0 0.018000001
0.2302 152.0 0.017
0.2299 152.0 0.016
0.2299 152.0 0.015000001
0.2299 152.0 0.014
0.23 152.0 0.013
0.23 152.0 0.012
0.23 152.0 0.011000001
0.2296 152.0 0.010000001
0.2296 152.0 0.009000001
0.2303 152.0 0.008
0.2303 152.0 0.007
0.2297 152.0 0.006
0.2297 152.0 0.0050000004
0.2297 152.0 0.004
0.2294 152.0 0.003
0.2294 152.0 0.002
0.2101 160.0 0.0
0.2168 160.0 0.001
0.2168 160.0 0.002
0.2285 160.0 0.003
0.2285 160.0 0.004
0.2285 160.0 0.0050000004
0.2298 160.0 0.006
0.2298 160.0 0.007
0.2295 160.0 0.008
0.2295 160.0 0.009000001
0.2295 160.0 0.010000001
0.2294 160.0 0.011000001
0.2294 160.0 0.012
